등급,이름,타입,직업,포격,충파,지원,백병,박물,심미,척후,보급,구매,판매,협상,교환,Lv 10 직업 효과,Lv 10 직업 효과,Lv 30 인물 효과,Lv 30 인물 효과,LV 50 직업 효과,LV 50 직업 효과,LV 70 인물 효과,LV 70 인물 효과,잠재 효과 1,잠재 효과 2,인연 연대기 추가 효과 1,인연 연대기 추가 효과 2,교전 기술 LV 1,교전 기술 LV 50,인연 연대기 추가 기술
B,라 이카이카,교역,향료상,19,7,16,11,33,24,28,35,28,63,33,22,포격 공격력 증가,향료 거래 전문,향신료 거래 우대,낚시꾼,향신료 거래 전문,향료 구매 할인,이동 봉쇄 포격,향료 판매 할증,향료 거래 달인,향신료 판매 달인,,,의술 봉쇄,포격 봉쇄,
B,라울 핏치,교역,협상가,19,7,16,10,25,28,37,31,33,24,75,21,포격 회피 증가,기호품 거래 전문,흥정의 기술,가축 거래 우대,향수병 해소,기호품 구매 할인,치명적인 백병,기호품 판매 할증,다정한 협상,가축 판매 달인,,,명중 증가,명중 감소,
B,레베카 롤프,모험,통역가,11,19,16,7,33,72,29,22,36,23,32,24,충파 치명타 발생 증가,친절한 이방인,피격 시 백병 회피 증가,호전적인 탐험가,낚시꾼,해적 사냥,공격 시 충파 치명률 하강,부지런한 탐험가,주류 구매 달인,노련한 노 젓기,,,충파: 침수 유발,포격 봉쇄,
B,레오 아프리카누스,교역,염료상,7,10,15,19,33,23,29,31,73,21,32,26,백병 방어력 증가,염료 거래 전문,염료 거래 우대,쥐 해소,오염 해소,염료 구매 할인,염료 판매 할증,피격 시 충파 방어력 증가,염료 거래 달인,공예품 판매 달인,,,추가 기동력 감소,백병: 포탄 약탈,
B,레이첼 월,전투,조타장,32,73,19,28,10,16,7,16,34,24,26,32,충파 방어력 증가,충파 치명타 추가 피해,섬유 거래 우대,행동 전 치명타 발생 증폭,충파 공격력 증가,충파 공격력 증폭,저체온증 해소,충파 반격 강화,충파 피해 무효,대혼란 충파,,,충파: 구속 유발,정밀 충파: 혼란 유발,
B,로드리고 데바스티다스,교역,향료상,20,7,15,11,32,23,28,36,29,63,33,22,포격 공격력 증가,향료 거래 전문,향료 거래 우대,세이렌 해소,향신료 거래 전문,향료 구매 할인,공격 시 포격 회피 하강,향료 판매 할증,향료 거래 달인,공예품 판매 달인,,,수리 봉쇄,백병: 물 약탈,
B,로레다나 마르첼로,전투,수련의,28,32,73,22,18,16,10,8,22,28,30,33,의술 극대화 발생 증가,충파 방어력 증폭,의약품 구매 할인,포격 피해 반사,의술 회복량 증가,충파 피해 반사,저체온증 해소,시작 시 기동력 회복량 증가,의술 회복량 증폭 심화,직물 구매 달인,,,의술: 전 범위,백병 공격력 강화,
B,로렌주 핀투,교역,회계사,19,10,15,7,37,31,24,27,34,21,29,63,포격 공격력 증가,공업품 거래 전문,공업품 거래 우대,화재 해소,총포류 거래 전문,공업품 구매 할인,공격 시 포격 방어력 하강,공업품 판매 할증,공업품 판매 달인,천부적인 장사꾼,,,돌격,백병: 포탄 약탈,
B,로버트 로우,전투,조타수,32,74,20,27,26,20,34,32,13,12,6,19,충파 공격력 증가,충파 공격력 증폭,피격 전 방어력 증폭,행동 전 공격력 증폭,충파 방어력 증가,충파 방어력 증폭,이동 봉쇄 포격,충파 반격 강화,공격 시 충파 방어력 하락,공업품 구매 달인,,,충파: 싸움 유발,충파: 돛 손상 유발,
B,로이드 스탓텐,모험,갑판장,15,11,19,7,29,31,75,23,36,26,32,22,포격 방어력 증가,중재자,공예품 거래 우대,피격 시 포격 방어력 증가,싸움 해소,관찰 공부,공격 시 포격 치명률 하강,털모자 배급,주류 구매 달인,해적 척결,,,충파: 혼란 유발,백병: 포탄 약탈,
B,로푸 드알베르가리아,교역,식품상,7,11,19,15,37,31,24,25,75,29,25,26,의술 회복량 증가,식료품 거래 전문,식료품 거래 우대,장애물 탐지,조미료 거래 전문,식료품 구매 할인,피격 시 회피 증폭,식료품 판매 할증,식료품 거래 달인,기호품 거래 달인,,,백병: 물 약탈,충파 봉쇄,
B,루이스 데토레스,모험,통역가,11,19,16,7,33,73,29,22,36,23,32,24,충파 치명타 발생 증가,친절한 이방인,기호품 구매 할인,공격 시 충파 치명률 하강,낚시꾼,해적 사냥,치명적인 충파,가면을 쓴 약탈자,노련한 노 젓기,기회 창출,,,방어력 감소,치명타 발생 증가,
B,루이스 바에스 데토레스,모험,보급장,19,7,15,11,29,30,25,69,28,21,37,29,포격 방어력 증가,결벽증,직물 거래 우대,칭찬과 격려,부패 해소,긴축 배급,공격 시 포격 치명률 하강,규칙적인 생활,노련한 노 젓기,행동 전 공격력 증폭 심화,,,충파 봉쇄,포격: 침수 유발,
B,루이스 부르주아,전투,일반의,21,27,69,32,27,30,35,21,14,11,7,20,의술 극대화 회복량 증가,백병 방어력 증폭,향신료 거래 우대,피해 반사,의술 극대화 발생 증가,의술 회복량 증폭,이동 방해 충파,시작 시 이동력 증가,의술 회복량 증폭 심화,섬유 구매 달인,,,의술: 대규모,포격 봉쇄,
B,루이스 스콧,전투,특공대,28,33,19,75,31,29,23,28,10,8,18,16,백병 회피 증가,백병 회피 증폭,공격 시 백병 방어력 하강,백병 치명타 추가 피해,백병 명중 증가,백병 명중 증폭,진귀한 탐험,백병 반격 강화,공격 시 백병 공격력 하락,무기류 구매 달인,,,백병: 방어 무시,정밀 백병: 혼란 유발,
B,리오노 아반츄라,전투,일반의,22,27,70,33,27,31,35,22,14,11,7,20,의술 극대화 회복량 증가,백병 방어력 증폭,공업품 거래 우대,시작 시 이동력 증가,의술 극대화 발생 증가,의술 회복량 증폭,화물 점검,피해 반사,의술 회복량 증폭 심화,의약품 구매 달인,,,의술: 전 범위,포격: 구속 유발,
B,리차드 빙엄,전투,조선공,22,33,70,28,14,11,7,18,27,33,35,24,수리 극대화 회복량 증가,충파 공격력 증폭,총포류 판매 할증,행동 전 치명타 발생 증폭,수리 극대화 발생 증가,수리 회복량 증폭,저체온증 해소,피해 반사,수리 회복량 증폭 심화,염료 구매 달인,,,수리: 대규모,백병: 구속 유발,
B,리차드 월리,전투,백병대,28,32,21,74,22,24,30,36,17,16,10,8,백병 치명타 발생 증가,백병 치명타 발생 증폭,바가지의 달인,행동 전 공격력 증폭,백병 공격력 증가,백병 치명타 추가 피해,저체온증 해소,백병 반격 강화,백병 치명타 피해 저항 증폭,무기류 구매 달인,,,백병: 침수 유발,백병 봉쇄,
B,마르틴 루터,모험,상담사,11,15,19,7,25,27,34,66,33,34,28,22,백병 회피 증가,싸움 해소,공예품 구매 할인,칭찬과 격려,향수병 해소,심리 상담,공격 시 백병 공격력 하강,털모자 배급,탐험 물자 절약 심화,백병 피해 무효,,,백병 봉쇄,백병: 침수 유발,
B,마르틴 발보아,교역,염료상,7,10,15,19,32,23,28,31,76,21,34,26,백병 방어력 증가,염료 거래 전문,향신료 거래 우대,괴혈병 해소,오염 해소,염료 구매 할인,피격 전 방어력 증폭,염료 판매 할증,염료 거래 달인,향신료 판매 달인,,,백병 봉쇄,백병: 포탄 약탈,
B,마르틴 베하임,모험,측량사,7,19,15,11,25,31,76,24,28,30,24,34,방어력 증가,방수 처리,향신료 거래 우대,수영 금지령,침수 해소,경계 강화,공격 시 충파 공격력 하강,식자재 관리,노련한 탐험가,기회 창출,,,포격: 돛 손상 유발,의술 봉쇄,
B,마리 앤,전투,함포수,74,27,19,32,14,6,18,12,26,31,34,24,포격 공격력 증가,포격 공격력 증폭,공격 시 포격 방어력 하강,기술 봉쇄 포격,포격 방어력 증가,포격 방어력 증폭,세이렌 해소,포격 반격 강화,공격 시 포격 방어력 하락,총포류 거래 달인,이동 정지 포격,,포격: 돛 손상 유발,정밀 포격: 혼란 유발,포격: 돛 파괴 유발
B,마슈 로이,모험,수렵가,7,11,15,19,29,70,34,21,33,34,24,27,백병 회피 증가,탐험 물자 절약,공격 시 백병 명중 하강,맹수 사냥,낚시의 대가,호전적인 탐험가,공격 시 백병 치명률 하강,심해 인양 기술자,전투적인 채집,식료품 판매 달인,,,백병: 식량 약탈,포격: 침수 유발,
B,마테오 리치,모험,통역가,11,19,15,7,33,70,29,22,36,23,32,25,충파 치명타 발생 증가,친절한 이방인,후려치기의 달인,호전적인 탐험가,낚시꾼,해적 사냥,공격 시 충파 치명률 하강,주의깊은 탐험가,노련한 돛 조종,조미료 구매 달인,,,충파: 돛 손상 유발,백병: 혼란 유발,
B,마환,모험,통역가,11,20,16,7,34,73,29,22,36,24,32,25,충파 치명타 발생 증가,친절한 이방인,흥정의 기술,공격 시 충파 공격력 하강,낚시꾼,해적 사냥,치명적인 충파,재력 추구,긴축 배식,충파 피해 무효,,,회피 감소,공격력 증가,
B,문순득,교역,염료상,7,11,15,19,33,23,28,33,74,22,33,26,백병 방어력 증가,염료 거래 전문,공예품 거래 우대,고향의 노래,오염 해소,염료 구매 할인,피격 시 백병 방어력 증가,염료 판매 할증,염료 거래 달인,공예품 판매 달인,,,백병: 화재 유발,포격 봉쇄,
B,문익점,교역,방적상,15,19,11,7,28,35,33,23,24,70,28,28,충파 공격력 증가,직물 거래 전문,직물 거래 우대,욕구불만 해소,섬유 거래 전문,직물 구매 할인,기술 봉쇄 충파,섬유 판매 할증,직물 거래 달인,섬유 판매 달인,,,충파: 중독 유발,충파: 구속 유발,
B,뭄타즈 마할,모험,통역가,11,19,15,7,34,70,29,22,36,23,32,25,충파 치명타 발생 증가,친절한 이방인,후려치기의 달인,천해 인양 전문가,낚시꾼,해적 사냥,공격 시 충파 치명률 하강,주의깊은 탐험가,긴축 배식,충파 치명타 피해 저항 증폭,,,포격: 침수 유발,포격: 화재 유발,
B,미겔 데세르반테스,모험,예술학자,11,7,15,19,76,23,34,25,33,24,24,35,백병 방어력 증가,재력 추구,피격 시 백병 회피 증가,해적 사냥,낚시꾼,명성 추구,공격 시 백병 치명률 하강,천해 인양 기술자,전투적인 관찰,귀금속 구매 달인,,,충파: 화재 유발,충파 봉쇄,
B,미겔 로페스 데레가스피,전투,전문의,32,22,71,27,11,7,18,16,30,33,23,27,의술 회복량 증가,포격 방어력 증폭,기호품 거래 우대,피해 반사,의술 극대화 회복량 증가,포격 피해 반사,이동 방해 포격,시작 시 기동력 회복량 증가,이동 전 기동력 절약,섬유 구매 달인,,,의술: 전 범위,포격: 구속 유발,
B,미겔 코르트 헤알,모험,보급장,19,7,15,11,29,30,25,69,28,21,37,29,포격 방어력 증가,결벽증,미술품 거래 우대,방수 처리,부패 해소,긴축 배급,공격 시 포격 치명률 하강,위생 관념,식료품 판매 달인,노련한 돛 조종,,,충파: 중독 유발,포격: 혼란 유발,
B,미켈란젤로 부오나로티,교역,미술상,7,18,12,14,37,32,24,25,29,22,75,29,충파 방어력 증가,미술품 거래 전문,염료 거래 우대,피격 시 포격 방어력 증가,정서불안 해소,미술품 구매 할인,이동 방해 충파,미술품 판매 할증,미술품 거래 달인,염료 판매 달인,미술품 구매 특별 할인,,돌격,백병: 자재 약탈,충파: 화마 유발
B,바스케스 데코로나도,모험,예술학자,11,7,15,19,75,23,33,26,32,24,24,35,백병 방어력 증가,재력 추구,이동 봉쇄 백병,주의깊은 탐험가,낚시꾼,명성 추구,공격 시 백병 공격력 하강,호전적인 탐험가,긴축 배식,행동 전 공격력 증폭 심화,,,충파: 중독 유발,포격: 구속 유발,
B,바실리 골리친,모험,상담사,11,15,19,7,25,27,34,66,33,34,28,22,백병 회피 증가,싸움 해소,공격 시 백병 치명률 하강,피격 시 포격 회피 증가,향수병 해소,심리 상담,고립 시 백병 공격력 증폭,식자재 관리,노련한 돛 조종,행동 전 치명타 발생 증폭 심화,,,백병: 침수 유발,백병: 중독 유발,
B,박타내,전투,함포수,70,28,25,33,17,8,22,11,30,32,38,24,포격 공격력 증가,포격 공격력 증폭,공업품 구매 할인,포격 피해 반사,포격 방어력 증가,포격 방어력 증폭,세이렌 해소,포격 반격 강화,대혼란 포격,총포류 구매 달인,,,포격: 중독 유발,포격: 돛 손상 유발,
B,벳키오,교역,잡화상,15,7,20,11,29,36,34,23,76,25,33,22,포격 방어력 증가,잡화 거래 전문,온화한 협상,돌풍 해소,수리 회복량 증가,잡화 구매 할인,중독 포격,잡화 판매 할증,잡화 거래 달인,직물 판매 달인,,,수리: 소규모,수리: 단일 대상,
B,비라 알라케스바라,교역,회계사,19,11,15,6,37,31,24,27,33,22,29,62,포격 공격력 증가,공업품 거래 전문,후려치기의 달인,화물 점검,총포류 거래 전문,공업품 구매 할인,고립 시 포격 공격력 증폭,공업품 판매 할증,직물 판매 달인,천부적인 장사꾼,,,백병: 침수 유발,백병 봉쇄,
B,비센테 야녜스 핀손,모험,보급장,19,7,16,11,29,32,25,69,27,21,35,29,포격 방어력 증가,결벽증,빗물 모으기,칭찬과 격려,부패 해소,긴축 배급,식량 약탈 백병,공격 시 백병 공격력 하강,긴축 배식,이동 전 기동력 절약,,,충파: 돛 손상 유발,의술 봉쇄,
B,비신,전투,함포수,81,31,22,35,14,7,18,13,27,35,34,26,포격 공격력 증가,포격 공격력 증폭,기호품 거래 우대,고립 시 포격 공격력 증폭,포격 방어력 증가,포격 방어력 증폭,채집 공부,공격 시 포격 공격력 하강,피격 시 포격 방어력 증폭,기호품 거래 달인,,,포격: 돛 손상 유발,포격: 싸움 유발,
B,빌럼 얀손,모험,측량사,7,19,16,11,25,32,75,24,28,31,24,33,방어력 증가,방수 처리,공격 시 포격 명중 하강,소방 훈련,침수 해소,경계 강화,공격 시 충파 치명률 하강,위생 관념,노련한 돛 조종,충파 치명타 피해 저항 증폭,,,충파 봉쇄,충파: 중독 유발,
B,사파,모험,항해장,11,6,19,14,33,26,75,23,25,24,38,29,포격 회피 증가,암초 해소,직물 거래 우대,소방 훈련,해초 해소,장애물 탐지,피격 전 회피 증폭,식자재 관리,가축 구매 달인,노련한 노 젓기,,,포격: 돛 손상 유발,추가 기동력 감소,
B,살리흐 레이스,전투,조타장,32,73,21,28,10,17,7,16,33,24,26,32,충파 방어력 증가,충파 치명타 추가 피해,이동 봉쇄 충파,충파 반격 강화,충파 공격력 증가,충파 공격력 증폭,피격 전 방어력 증폭,기술 봉쇄 충파,충파 공격력 증폭 심화,극독 충파,,,충파: 싸움 유발,정밀 충파: 혼란 유발,
B,살림 괴브데,전투,수련의,28,32,73,22,18,16,10,8,22,28,30,33,의술 극대화 발생 증가,충파 방어력 증폭,바가지의 달인,피격 시 백병 회피 증가,의술 회복량 증가,충파 피해 반사,중독 시 보호 발동,의술 회복량 증폭,백병 방어력 증폭 심화,피격 시 방어력 증폭 심화,,,의술: 대규모,치명타 발생 감소,
B,새뮤얼 버지스,교역,주류상,7,11,16,19,37,32,25,25,24,68,28,31,백병 방어력 증가,주류 거래 전문,공격 시 백병 명중 하강,돌풍 해소,욕구불만 해소,주류 구매 할인,공격 시 백병 방어력 하강,주류 판매 할증,주류 거래 달인,직물 판매 달인,,,수리 봉쇄,백병 봉쇄,
B,샤를로트 코르데,전투,타격대,27,32,20,73,7,10,14,19,34,24,26,32,백병 공격력 증가,백병 공격력 증폭,식료품 거래 우대,백병 반격 강화,백병 명중 증가,백병 방어력 증폭,식인상어 해소,혼란 시 보호 발동,대혼란 백병,이동 억제 백병,,,백병: 방어 무시,난전 백병: 중독 유발,
B,서굉조,모험,지리학자,7,19,15,11,76,31,25,24,28,30,24,34,방어력 증가,가면을 쓴 약탈자,중독 백병,심해 인양 기술자,채집의 달인,부지런한 탐험가,중독 충파,숙련된 탐험가,채집의 명인,행동 전 치명타 발생 증폭 심화,,,충파: 침수 유발,포격: 돛 손상 유발,
B,성춘향,전투,일반의,21,27,73,32,27,32,35,21,13,11,6,20,의술 극대화 회복량 증가,백병 방어력 증폭,의약품 구매 할인,피격 시 포격 회피 증가,의술 극대화 발생 증가,의술 회복량 증폭,화물 도난 해소,피격 전 회피 증폭,백병 방어력 증폭 심화,직물 구매 달인,,,의술: 소규모,포격: 연막 유발,
B,세실 파티만,모험,상담사,11,15,20,7,25,28,34,68,32,35,28,22,백병 회피 증가,싸움 해소,공격 시 포격 명중 하강,소방 훈련,향수병 해소,심리 상담,고립 시 백병 공격력 증폭,경계 강화,긴축 배식,시작 시 기동력 추가 회복,,,돌격,명중 감소,
B,세이디 알리 레이스,전투,수리공,32,28,74,21,23,28,31,36,17,16,10,7,수리 극대화 발생 증가,포격 공격력 증폭,육분의 활용,피격 전 회피 증폭,수리 회복량 증가,기술 봉쇄 포격,중독 시 보호 발동,수리 회복량 증폭,내구도 추가 증가,염료 구매 달인,,,수리: 대규모,공격력 감소,
B,세페르 레이스,전투,대사수,73,27,21,32,30,31,26,24,6,19,13,12,포격 회피 증가,포격 회피 증폭,가축 거래 우대,공격 시 포격 공격력 하강,포격 명중 증가,포격 명중 증폭,탐사의 기본,공격 시 포격 방어력 하강,극독 포격,총포류 구매 달인,,,포격: 중독 유발,포격: 섬광탄,
B,셰르 샤,전투,수련의,27,33,74,21,18,16,10,7,22,28,30,32,의술 극대화 발생 증가,충파 방어력 증폭,피격 시 백병 회피 증가,시작 시 기동력 회복량 증가,의술 회복량 증가,충파 피해 반사,피격 전 방어력 증폭,시작 시 이동력 증가,피격 시 백병 방어력 증폭,직물 구매 달인,,,의술: 대규모,충파: 구속 유발,
B,소포니스바 앙귀솔라,교역,염료상,7,11,16,18,33,24,29,31,75,22,33,26,백병 방어력 증가,염료 거래 전문,염료 거래 우대,심해 인양 전문가,오염 해소,염료 구매 할인,치명적인 충파,염료 판매 할증,염료 거래 달인,향료 판매 달인,,,명중 증가,치명타 발생 증가,
B,시난 레이스,전투,함포수,75,28,21,32,14,7,18,12,25,32,33,24,포격 공격력 증가,포격 공격력 증폭,보석 거래 우대,고립 시 포격 공격력 증폭,포격 방어력 증가,포격 방어력 증폭,보물 사냥꾼,공격 시 포격 방어력 하강,피격 시 포격 방어력 증폭,포격 치명타 피해 저항 증폭,,,포격: 연막 유발,방어력 감소,
B,시난 파샤,전투,조타장,32,74,21,27,10,17,7,16,33,24,26,31,충파 방어력 증가,충파 치명타 추가 피해,공예품 거래 우대,행동 전 공격력 증폭,충파 공격력 증가,충파 공격력 증폭,불면증 해소,기술 봉쇄 충파,극독 충파,광석 구매 달인,,,충파: 중독 유발,충파: 방어 무시,
B,시랑,모험,측량사,7,19,16,11,25,32,75,24,28,30,24,34,방어력 증가,방수 처리,공격 시 포격 치명률 하강,피격 전 회피 증폭,침수 해소,경계 강화,피격 전 방어력 증폭,위생 관념,조미료 구매 달인,노련한 탐험가,,,충파 봉쇄,돌격,
B,시마즈 요시히로,전투,타격대,27,32,20,73,7,10,14,19,34,24,26,32,백병 공격력 증가,백병 공격력 증폭,바가지의 달인,행동 전 치명타 발생 증폭,백병 명중 증가,백병 방어력 증폭,고향의 노래,백병 피해 반사,공격 시 백병 공격력 하락,백병 치명타 추가 저항,,,백병: 구속 유발,난전 백병: 중독 유발,
B,시몬 세게이라,교역,가축상,11,6,15,19,33,23,28,33,76,27,29,23,백병 회피 증가,가축 거래 전문,중독 백병,세이렌 해소,쥐 해소,가축 구매 할인,공격 시 백병 방어력 하강,가축 판매 할증,가축 거래 달인,광석 판매 달인,,,충파 봉쇄,백병: 자재 약탈,
B,심운영,전투,일반의,21,28,71,32,28,31,36,21,14,12,7,20,의술 극대화 회복량 증가,백병 방어력 증폭,가축 거래 우대,시작 시 이동력 증가,의술 극대화 발생 증가,의술 회복량 증폭,고향의 노래,혼란 시 보호 발동,시작 시 최상급 의술,의약품 구매 달인,,,의술: 대규모,백병: 구속 유발,
B,심청,교역,잡화상,15,7,20,10,29,36,33,23,75,24,33,21,포격 방어력 증가,잡화 거래 전문,잡화 거래 우대,무풍 해소,수리 회복량 증가,잡화 구매 할인,치명적인 충파,잡화 판매 할증,잡화 거래 달인,보석 판매 달인,,,수리: 소규모,수리: 단일 대상,
B,아나 데멘도사,교역,식품상,7,11,19,15,37,31,25,25,76,30,25,27,의술 회복량 증가,식료품 거래 전문,식료품 거래 우대,세이렌 해소,조미료 거래 전문,식료품 구매 할인,중독 시 보호 발동,식료품 판매 할증,식료품 거래 달인,귀금속 판매 달인,식료품 판매 특별 할증,,의술 봉쇄,백병: 물 약탈,백병: 방어 관통
B,아나 루머르스 피스허르,교역,미술상,7,19,12,14,37,32,25,24,28,23,73,28,충파 방어력 증가,미술품 거래 전문,염료 거래 우대,해초 해소,정서불안 해소,미술품 구매 할인,포격 명중 증가,미술품 판매 할증,미술품 거래 달인,염료 판매 달인,,,명중 증가,의술: 소규모,
B,아메리고 베스푸치,모험,측량사,7,18,15,11,24,30,74,24,29,29,25,35,방어력 증가,방수 처리,직물 거래 우대,털모자 배급,침수 해소,경계 강화,충파 봉쇄 충파,영양사,탐험 물자 절약 심화,충파 피해 무효,,,백병 봉쇄,돌격,
B,아바카 초우타,전투,대사수,73,28,21,31,30,31,26,24,7,20,14,11,포격 회피 증가,포격 회피 증폭,낚시의 대가,기술 봉쇄 포격,포격 명중 증가,포격 명중 증폭,싸움 해소,행동 전 치명타 발생 증폭,포격 공격력 증폭 심화,총포류 구매 달인,,,포격: 구속 유발,포격: 돛 손상 유발,
B,아벌 얀손 타스만,모험,보급장,19,7,16,11,29,32,25,69,28,22,36,29,포격 방어력 증가,결벽증,중독 백병,수영 금지령,부패 해소,긴축 배급,공격 시 포격 회피 하강,영양사,식료품 판매 달인,긴축 배식,,,충파: 싸움 유발,포격: 구속 유발,
B,아이 마타,교역,약품상,7,11,20,15,24,28,37,29,24,67,33,26,의술 회복량 증가,의약품 거래 전문,의약품 거래 우대,조미료 거래 우대,전염병 해소,의약품 구매 할인,식량 약탈 백병,의약품 판매 할증,의약품 거래 달인,조미료 판매 달인,,,치명타 발생 증가,의술: 소규모,
B,아즈비케,교역,염료상,7,11,15,19,33,23,28,33,76,22,34,27,백병 방어력 증가,염료 거래 전문,공격 시 포격 공격력 하강,천해 인양 전문가,오염 해소,염료 구매 할인,고립 시 백병 공격력 증폭,염료 판매 할증,염료 거래 달인,무기류 판매 달인,,,충파 봉쇄,돌격,
B,아폰수 안드라드,모험,수석 항해사,15,11,20,7,25,28,75,30,24,30,36,24,수리 회복량 증가,육분의 활용,피격 시 포격 회피 증가,소방 훈련,무풍 해소,능숙한 돛 조종,충파 봉쇄 충파,영양사,식료품 판매 달인,노련한 돛 조종,,,충파 봉쇄,포격: 돛 손상 유발,
B,아흐메드 알 와타시,교역,방적상,14,19,12,6,28,36,33,22,25,70,29,27,충파 공격력 증가,직물 거래 전문,섬유 구매 할인,고향의 노래,섬유 거래 전문,직물 구매 할인,중독 충파,직물 판매 할증,직물 거래 달인,섬유 판매 달인,,,충파: 돛 손상 유발,포격 봉쇄,
B,악셀 욱센헤나,교역,회계사,19,10,15,7,37,31,24,27,34,21,29,63,포격 공격력 증가,공업품 거래 전문,공업품 거래 우대,화재 해소,총포류 거래 전문,공업품 구매 할인,공격 시 포격 공격력 하강,공업품 판매 할증,공업품 판매 달인,천부적인 장사꾼,,,백병: 자재 약탈,충파 봉쇄,
B,안 도트리슈,교역,광물상,14,19,12,6,25,28,37,29,29,31,75,20,충파 방어력 증가,광석 거래 전문,공격 시 백병 명중 하강,고향의 노래,치명적인 충파,광석 구매 할인,이동 봉쇄 충파,광석 판매 할증,광석 거래 달인,의약품 판매 달인,,,돌격,백병: 물 약탈,
B,안드레아 기지,전투,함포수,74,28,20,31,14,6,18,12,26,32,34,23,포격 공격력 증가,포격 공격력 증폭,흥정의 기술,기술 봉쇄 포격,포격 방어력 증가,포격 방어력 증폭,공격 시 포격 회피 하강,행동 전 치명타 발생 증폭,포격 치명타 피해 저항 증폭,포격 방어력 증폭 심화,,,포격: 싸움 유발,광역 포격: 싸움 유발,
B,안토니오 데베리오,모험,지리학자,7,19,15,11,75,30,25,24,28,30,24,33,방어력 증가,가면을 쓴 약탈자,중독 시 분노 발동,숙련된 탐험가,채집의 달인,부지런한 탐험가,공격 시 충파 방어력 하강,주의깊은 탐험가,주류 구매 달인,채집의 명인,,,충파: 혼란 유발,백병: 싸움 유발,
B,안토니오 피가페타,모험,상담사,11,15,20,7,25,28,33,66,32,34,28,22,백병 회피 증가,싸움 해소,직물 거래 우대,피격 시 회피 증폭,향수병 해소,심리 상담,공격 시 백병 공격력 하강,경계 강화,노련한 돛 조종,시작 시 이동력 추가 증가,,,충파: 싸움 유발,백병: 화재 유발,
B,안토니오 핀데아도,전투,설계사,28,22,74,33,23,28,15,20,18,14,25,25,수리 회복량 증가,백병 공격력 증폭,귀금속 거래 우대,피격 시 포격 회피 증가,수리 극대화 회복량 증가,기술 봉쇄 백병,보물 사냥꾼,수리 회복량 증폭,시작 시 기동력 추가 회복,염료 구매 달인,,,수리: 소규모,명중 감소,
B,알렉산더 셀커크,모험,수렵가,7,12,15,18,29,70,34,22,33,36,24,25,백병 회피 증가,탐험 물자 절약,공격 시 백병 명중 하강,천해 인양 기술자,낚시의 대가,호전적인 탐험가,공격 시 백병 치명률 하강,부지런한 탐험가,잡화 판매 달인,투쟁적인 탐험가,백병 치명타 저항 향상,,백병: 싸움 유발,충파: 돛 손상 유발,백병: 좌초 유발
B,알렉산더 해밀턴,교역,협상가,17,7,15,11,24,27,37,28,34,25,76,23,포격 회피 증가,기호품 거래 전문,바가지의 달인,공예품 거래 우대,향수병 해소,기호품 구매 할인,공격 시 포격 치명률 하강,식료품 판매 할증,다정한 협상,공예품 판매 달인,,,백병: 물 약탈,백병: 포탄 약탈,
B,알렉산드로 바조,전투,대사수,73,28,21,31,30,31,26,24,6,20,13,11,포격 회피 증가,포격 회피 증폭,공격 시 포격 방어력 하강,포격 반격 강화,포격 명중 증가,포격 명중 증폭,불면증 해소,행동 전 공격력 증폭,포격 피해 무효,이동 억제 포격,,,포격: 화재 유발,포격: 중독 유발,
B,알로이지 조반니,교역,식품상,7,10,19,15,36,30,24,24,76,28,25,26,의술 회복량 증가,식료품 거래 전문,조미료 판매 할증,이동 봉쇄 포격,조미료 거래 전문,식료품 구매 할인,행동 전 명중 증폭,식료품 판매 할증,식료품 거래 달인,조미료 판매 달인,,,백병: 물 약탈,백병: 자재 약탈,
B,알론소 데오헤다,전투,타격대,27,32,20,73,7,10,14,19,34,24,26,32,백병 공격력 증가,백병 공격력 증폭,보석 거래 우대,백병 반격 강화,백병 명중 증가,백병 방어력 증폭,천해 튼튼한 로프,백병 피해 반사,백병 치명티 피해 저항 증폭,흥정의 기법,,,백병: 화재 유발,백병: 중독 유발,
B,알리 알 만드리,전투,수련의,27,32,71,22,18,15,11,7,23,28,31,33,의술 극대화 발생 증가,충파 방어력 증폭,식료품 거래 우대,피해 반사,의술 회복량 증가,충파 피해 반사,털모자 배급,의술 극대화 회복량 증가,백병 방어력 증폭 심화,의약품 구매 달인,,,의술: 전 범위,추가 기동력 증가,
B,알바로 데멘다냐,모험,고고학자,11,20,15,7,76,27,34,22,33,28,37,21,백병 방어력 증가,재력 지향,향료 거래 우대,해적 사냥,해양 생태 연구,명성 지향,이동 봉쇄 충파,호전적인 탐험가,미술품 구매 달인,해적 척결,,,충파: 돛 손상 유발,포격: 화재 유발,
B,알비세 카다모스토,교역,가축상,11,6,15,19,33,23,28,33,76,27,29,23,백병 회피 증가,가축 거래 전문,행동 전 명중 증폭,화물 점검,쥐 해소,가축 구매 할인,공격 시 백병 방어력 하강,가축 판매 할증,가축 거래 달인,귀금속 판매 달인,,,백병: 식량 약탈,포격 봉쇄,
B,알탄 칸,교역,주류상,7,11,15,19,37,31,24,25,25,68,29,31,백병 방어력 증가,주류 거래 전문,주류 거래 우대,천해 인양 전문가,욕구불만 해소,주류 구매 할인,공격 시 백병 회피 하강,주류 판매 할증,주류 거래 달인,무기류 판매 달인,,,추가 기동력 증가,수리 봉쇄,
